,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, -10)","(3, -10)","(3, 35)","(3, -10)"
3,"(4, 5)","(4, 5)","(4, 35)","(4, -40)"
4,"(5, 5)","(5, 5)","(5, 35)","(5, -25)"
5,"(6, 5)","(6, 20)","(6, 28)","(6, -10)"
6,"(7, -2)","(7, 20)","(7, 28)","(7, 5)"
7,"(8, -2)","(8, 20)","(8, 28)","(8, 5)"
8,"(9, -2)","(9, 13)","(9, 21)","(9, 5)"
9,"(10, 1)","(10, 13)","(10, 21)","(10, -2)"
10,"(11, 1)","(11, 13)","(11, 21)","(11, -2)"
11,"(12, 1)","(12, 6)","(12, 14)","(12, -2)"
12,"(13, -2)","(13, 6)","(13, 14)","(13, -9)"
13,"(14, 1)","(14, 9)","(14, 17)","(14, -6)"
14,"(15, 1)","(15, 9)","(15, 17)","(15, -6)"
15,"(16, 4)","(16, 9)","(16, 17)","(16, -3)"
16,"(17, 4)","(17, 6)","(17, 20)","(17, 0)"
17,"(18, 4)","(18, 6)","(18, 20)","(18, 0)"
18,"(19, 1)","(19, 6)","(19, 20)","(19, 0)"
19,"(20, 1)","(20, 9)","(20, 17)","(20, -3)"
