,Upper,Right,Lower,Left
0,"(1, 50)","(1, 50)","(1, 50)","(1, 50)"
1,"(2, 20)","(2, 20)","(2, 20)","(2, 20)"
2,"(3, 35)","(3, -10)","(3, -10)","(3, -10)"
3,"(4, 35)","(4, 5)","(4, -40)","(4, 5)"
4,"(5, 35)","(5, 20)","(5, -25)","(5, 5)"
5,"(6, 28)","(6, 20)","(6, -10)","(6, 5)"
6,"(7, 28)","(7, 20)","(7, -10)","(7, -2)"
7,"(8, 28)","(8, 13)","(8, -10)","(8, 1)"
8,"(9, 31)","(9, 13)","(9, -17)","(9, 1)"
9,"(10, 31)","(10, 13)","(10, -14)","(10, 4)"
10,"(11, 31)","(11, 6)","(11, -11)","(11, 4)"
11,"(12, 28)","(12, 6)","(12, -8)","(12, 4)"
12,"(13, 28)","(13, 6)","(13, -8)","(13, 1)"
13,"(14, 28)","(14, -1)","(14, -8)","(14, 4)"
14,"(15, 25)","(15, 2)","(15, -5)","(15, 7)"
15,"(16, 25)","(16, 2)","(16, -5)","(16, 7)"
16,"(17, 25)","(17, 2)","(17, -5)","(17, 7)"
17,"(18, 22)","(18, -1)","(18, -8)","(18, 4)"
18,"(19, 22)","(19, -1)","(19, -8)","(19, 4)"
19,"(20, 25)","(20, 2)","(20, -5)","(20, 7)"
